,order_id,date
0,1,2016-01-01 00:00:00
1,2,2016-01-01 11:57:40
2,4,2016-01-01 00:00:00
3,5,2016-01-01 12:21:30
4,6,2016-01-01 00:00:00
5,7,2016-01-01 00:00:00
6,8,2016-01-01 00:00:00
7,9,2016-01-01 00:00:00
8,13,2016-01-01 00:00:00
9,14,2016-01-01 00:00:00
10,15,2016-01-01 00:00:00
11,16,2016-01-01 13:34:07
12,17,2016-01-01 13:53:00
13,18,2016-01-01 13:57:08
14,19,2016-01-01 00:00:00
15,20,2016-01-01 14:03:08
16,21,2016-01-01 00:00:00
17,22,2016-01-01 00:00:00
18,23,2016-01-01 14:19:03
19,24,2016-01-01 00:00:00
20,25,2016-01-01 00:00:00
21,26,2016-01-01 00:00:00
22,27,2016-01-01 00:00:00
23,28,2016-01-01 00:00:00
24,29,2016-01-01 00:00:00
25,30,2016-01-01 15:41:25
26,31,2016-01-01 15:50:18
27,32,2016-01-01 00:00:00
28,34,2016-01-01 16:21:21
29,35,2016-01-01 00:00:00
30,37,2016-01-01 00:00:00
31,39,2016-01-01 00:00:00
32,40,2016-01-01 17:14:36
33,41,2016-01-01 00:00:00
34,42,2016-01-01 00:00:00
35,43,2016-01-01 00:00:00
36,45,2016-01-01 17:55:48
37,46,2016-01-01 00:00:00
38,47,2016-01-01 00:00:00
39,49,2016-01-01 00:00:00
40,50,2016-01-01 00:00:00
41,52,2016-01-01 00:00:00
42,53,2016-01-01 00:00:00
43,54,2016-01-01 00:00:00
44,55,2016-01-01 00:00:00
45,56,2016-01-01 00:00:00
46,57,2016-01-01 00:00:00
47,58,2016-01-01 00:00:00
48,59,2016-01-01 00:00:00
49,60,2016-01-01 00:00:00
50,61,2016-01-01 00:00:00
51,62,2016-01-01 00:00:00
52,63,2016-01-01 00:00:00
53,64,2016-01-01 00:00:00
54,65,2016-01-01 00:00:00
55,66,2016-01-01 00:00:00
56,67,2016-01-01 00:00:00
57,68,2016-01-01 00:00:00
58,69,2016-01-01 22:12:13
59,70,2016-01-02 00:00:00
60,71,2016-01-02 00:00:00
61,72,2016-01-02 00:00:00
62,73,2016-01-02 00:00:00
63,74,2016-02-01 12:01:12
64,75,2016-01-02 00:00:00
65,76,2016-01-02 00:00:00
66,77,2016-01-02 00:00:00
67,78,2016-01-02 00:00:00
68,79,2016-02-01 12:29:11
69,80,2016-01-02 00:00:00
70,81,2016-01-02 00:00:00
71,82,2016-01-02 00:00:00
72,83,2016-01-02 00:00:00
73,84,2016-01-02 00:00:00
74,85,2016-01-02 00:00:00
75,86,2016-01-02 00:00:00
76,87,2016-02-01 14:01:02
77,89,2016-01-02 00:00:00
78,90,2016-01-02 00:00:00
79,91,2016-01-02 00:00:00
80,92,2016-02-01 15:17:02
81,93,2016-01-02 00:00:00
82,95,2016-01-02 00:00:00
83,96,2016-01-02 00:00:00
84,99,2016-02-01 17:45:42
85,101,2016-01-02 00:00:00
86,102,2016-02-01 17:54:04
87,103,2016-02-01 18:02:09
88,104,2016-01-02 00:00:00
89,105,2016-01-02 00:00:00
90,106,2016-01-02 00:00:00
91,107,2016-01-02 00:00:00
92,109,2016-01-02 00:00:00
93,110,2016-01-02 00:00:00
94,111,2016-01-02 00:00:00
95,112,2016-02-01 18:41:40
96,113,2016-01-02 00:00:00
97,114,2016-02-01 18:59:32
98,115,2016-01-02 00:00:00
99,116,2016-01-02 00:00:00
100,117,2016-01-02 00:00:00
101,119,2016-01-02 00:00:00
102,120,2016-01-02 00:00:00
103,121,2016-01-02 00:00:00
104,122,2016-01-02 00:00:00
105,123,2016-01-02 00:00:00
106,124,2016-01-02 00:00:00
107,125,2016-01-02 00:00:00
108,126,2016-01-02 00:00:00
109,127,2016-02-01 20:58:23
110,128,2016-01-02 00:00:00
111,129,2016-01-02 00:00:00
112,130,2016-01-02 00:00:00
113,132,2016-01-02 00:00:00
114,133,2016-01-02 00:00:00
115,134,2016-01-02 00:00:00
116,137,2016-01-03 00:00:00
117,138,2016-01-03 00:00:00
118,139,2016-03-01 11:57:39
119,140,2016-01-03 00:00:00
120,141,2016-01-03 00:00:00
121,142,2016-01-03 00:00:00
122,144,2016-01-03 00:00:00
123,145,2016-03-01 13:53:48
124,146,2016-01-03 00:00:00
125,147,2016-01-03 00:00:00
126,149,2016-01-03 00:00:00
127,150,2016-03-01 14:49:58
128,151,2016-01-03 00:00:00
129,153,2016-01-03 00:00:00
